Employee_ID,Department,Age,Salary,Date_Joined,Attrition,Performance_Score
EMP-038,Finance,30,72000.0,2018-11-22 10:07:13.734939,Yes,2.1
EMP-039,Sales,30,59000.0,2018-12-01 05:12:17.349397,No,2.7
EMP-040,Marketing,39,70000.0,2018-12-10 00:17:20.963855,No,3.3
EMP-041,HR,48,77000.0,2018-12-18 19:22:24.578313,No,3.6
EMP-042,Sales,31,61000.0,2018-12-27 14:27:28.192771,No,1.6
EMP-043,Marketing,24,40000.0,2019-01-05 09:32:31.807228,No,4.0
EMP-044,HR,32,62000.0,2019-01-14 04:37:35.421686,No,4.9
EMP-045,HR,35,47000.0,2019-01-22 23:42:39.036144,No,4.1
EMP-046,HR,37,50000.0,2019-01-31 18:47:42.650602,Yes,3.4
EMP-047,HR,35,69000.0,2019-02-09 13:52:46.265060,No,3.8
EMP-048,Finance,22,80000.0,2019-02-18 08:57:49.879518,No,3.6
EMP-049,Marketing,29,76000.0,2019-02-27 04:02:53.493975,No,3.8
EMP-050,Marketing,24,86000.0,2019-03-07 23:07:57.108433,No,4.2
EMP-051,Finance,32,71000.0,2019-03-16 18:13:00.722891,No,4.1
EMP-052,Finance,33,73000.0,2019-03-25 13:18:04.337349,No,2.7
EMP-053,Marketing,28,82000.0,2019-04-03 08:23:07.951807,No,3.7
EMP-054,HR,26,86000.0,2019-04-12 03:28:11.566265,No,4.1
EMP-055,Sales,23,101000.0,2019-04-20 22:33:15.180722,No,3.3
EMP-056,Finance,41,85000.0,2019-04-29 17:38:18.795180,No,3.7
EMP-057,Marketing,39,99000.0,2019-05-08 12:43:22.409638,No,3.3
EMP-058,Engineering,22,72000.0,2019-05-17 07:48:26.024096,No,4.4
EMP-059,Marketing,37,66000.0,2019-05-26 02:53:29.638554,Yes,3.8
EMP-060,HR,25,40000.0,2019-06-03 21:58:33.253012,Yes,3.9
EMP-061,Engineering,42,40000.0,2019-06-12 17:03:36.867469,No,3.4
EMP-062,HR,23,43000.0,2019-06-21 12:08:40.481927,No,4.4
EMP-063,Finance,38,71000.0,2019-06-30 07:13:44.096385,Yes,2.7
EMP-064,Sales,40,49000.0,2019-07-09 02:18:47.710843,No,4.4
EMP-065,Engineering,34,109000.0,2019-07-17 21:23:51.325301,No,3.2
EMP-066,Finance,39,57000.0,2019-07-26 16:28:54.939759,No,3.5
EMP-067,HR,32,61000.0,2019-08-04 11:33:58.554216,No,5.0
EMP-068,Engineering,42,71000.0,2019-08-13 06:39:02.168674,No,3.5
EMP-069,Engineering,33,68000.0,2019-08-22 01:44:05.783132,Yes,3.4
EMP-070,Marketing,35,91000.0,2019-08-30 20:49:09.397590,No,3.4
EMP-071,Finance,34,55000.0,2019-09-08 15:54:13.012048,No,4.3
EMP-072,Engineering,34,114000.0,2019-09-17 10:59:16.626506,No,3.1
EMP-073,Sales,32,58000.0,2019-09-26 06:04:20.240963,No,4.4
EMP-074,Sales,42,44000.0,2019-10-05 01:09:23.855421,No,2.7
EMP-075,Marketing,53,76000.0,2019-10-13 20:14:27.469879,No,2.9
EMP-076,Engineering,46,56000.0,2019-10-22 15:19:31.084337,No,4.7
EMP-077,Marketing,38,68000.0,2019-10-31 10:24:34.698795,No,3.9
EMP-078,Marketing,23,42000.0,2019-11-09 05:29:38.313253,No,3.1
EMP-079,Marketing,24,61000.0,2019-11-18 00:34:41.927710,No,3.9
EMP-080,Engineering,43,54000.0,2019-11-26 19:39:45.542168,No,3.5
EMP-081,Engineering,24,75000.0,2019-12-05 14:44:49.156626,No,4.3
EMP-082,HR,22,103000.0,2019-12-14 09:49:52.771084,No,4.9
EMP-083,Marketing,36,102000.0,2019-12-23 04:54:56.385542,No,4.1
EMP-084,Marketing,40,48000.0,2020-01-01 00:00:00.000000,No,2.8
EMP-085,Marketing,35,43000.0,2020-01-09 19:05:03.614457,Yes,4.1
EMP-086,Marketing,40,93000.0,2020-01-18 14:10:07.228915,No,3.1
EMP-087,Sales,33,67000.0,2020-01-27 09:15:10.843373,No,3.4
EMP-088,Engineering,35,44000.0,2020-02-05 04:20:14.457831,No,3.8
EMP-089,Marketing,41,54000.0,2020-02-13 23:25:18.072289,Yes,4.1
EMP-090,Engineering,34,44000.0,2020-02-22 18:30:21.686746,No,3.5
EMP-091,Finance,22,69000.0,2020-03-02 13:35:25.301204,Yes,2.9
EMP-092,Marketing,24,82000.0,2020-03-11 08:40:28.915662,No,4.1
EMP-093,Engineering,36,48000.0,2020-03-20 03:45:32.530120,No,4.0
EMP-094,HR,39,95000.0,2020-03-28 22:50:36.144578,No,3.8
EMP-095,Marketing,36,68000.0,2020-04-06 17:55:39.759036,Yes,3.4
EMP-096,Finance,41,71000.0,2020-04-15 13:00:43.373493,No,1.6
EMP-097,Marketing,30,83000.0,2020-04-24 08:05:46.987951,Yes,1.9
EMP-098,Engineering,43,58000.0,2020-05-03 03:10:50.602409,Yes,3.2
EMP-099,Sales,25,67000.0,2020-05-11 22:15:54.216867,No,4.5
EMP-100,Sales,22,91000.0,2020-05-20 17:20:57.831325,No,2.8
EMP-101,Marketing,29,42000.0,2020-05-29 12:26:01.445783,No,4.0
EMP-102,Sales,45,54000.0,2020-06-07 07:31:05.060240,Yes,3.8
EMP-103,Engineering,32,61000.0,2020-06-16 02:36:08.674698,No,3.9
EMP-104,Engineering,40,60000.0,2020-06-24 21:41:12.289156,No,4.0
EMP-105,Sales,23,94000.0,2020-07-03 16:46:15.903614,No,4.5
EMP-106,Marketing,41,84000.0,2020-07-12 11:51:19.518072,No,2.7
EMP-107,Engineering,30,61000.0,2020-07-21 06:56:23.132530,No,2.5
EMP-108,Marketing,26,78000.0,2020-07-30 02:01:26.746987,No,3.9
EMP-109,Finance,41,103000.0,2020-08-07 21:06:30.361445,No,4.0
EMP-110,Finance,32,104000.0,2020-08-16 16:11:33.975903,No,3.1
EMP-111,Engineering,39,71000.0,2020-08-25 11:16:37.590361,No,2.9
EMP-112,Finance,41,74000.0,2020-09-03 06:21:41.204819,No,4.4
EMP-113,Finance,34,81000.0,2020-09-12 01:26:44.819277,No,2.4
EMP-114,Marketing,39,122000.0,2020-09-20 20:31:48.433734,Yes,3.6
EMP-115,Finance,31,62000.0,2020-09-29 15:36:52.048192,Yes,3.7
EMP-116,Marketing,32,75000.0,2020-10-08 10:41:55.662650,No,5.0
EMP-117,Sales,28,40000.0,2020-10-17 05:46:59.277108,No,3.4
EMP-118,Finance,31,70000.0,2020-10-26 00:52:02.891566,No,3.0
EMP-119,Finance,36,94000.0,2020-11-03 19:57:06.506024,No,2.6
EMP-120,Finance,28,60000.0,2020-11-12 15:02:10.120481,No,3.2
EMP-121,Finance,42,97000.0,2020-11-21 10:07:13.734939,No,3.2
EMP-122,Sales,22,58000.0,2020-11-30 05:12:17.349397,No,3.2
EMP-123,Sales,39,94000.0,2020-12-09 00:17:20.963855,No,2.7
EMP-124,Engineering,26,66000.0,2020-12-17 19:22:24.578313,Yes,3.7
EMP-125,Sales,29,69000.0,2020-12-26 14:27:28.192771,No,4.1
EMP-126,Sales,27,54000.0,2021-01-04 09:32:31.807228,No,2.9
EMP-127,Finance,38,40000.0,2021-01-13 04:37:35.421686,No,2.3
EMP-128,HR,47,65000.0,2021-01-21 23:42:39.036144,No,4.9
EMP-129,HR,39,52000.0,2021-01-30 18:47:42.650602,No,2.7
EMP-130,Sales,22,67000.0,2021-02-08 13:52:46.265060,No,3.7
EMP-131,Engineering,39,57000.0,2021-02-17 08:57:49.879518,No,3.9
EMP-132,Sales,37,53000.0,2021-02-26 04:02:53.493975,No,3.5
EMP-133,HR,23,40000.0,2021-03-06 23:07:57.108433,No,2.3
EMP-134,Finance,38,66000.0,2021-03-15 18:13:00.722891,No,3.2
EMP-135,Finance,41,67000.0,2021-03-24 13:18:04.337349,No,3.6
EMP-136,Engineering,40,101000.0,2021-04-02 08:23:07.951807,No,4.0
EMP-137,HR,39,81000.0,2021-04-11 03:28:11.566265,No,3.8
EMP-138,Marketing,31,44000.0,2021-04-19 22:33:15.180722,No,4.9
EMP-139,Engineering,47,90000.0,2021-04-28 17:38:18.795180,Yes,3.8
EMP-140,Finance,33,51000.0,2021-05-07 12:43:22.409638,No,3.8
EMP-141,Marketing,29,72000.0,2021-05-16 07:48:26.024096,No,5.0
EMP-142,Engineering,25,66000.0,2021-05-25 02:53:29.638554,No,1.8
EMP-143,Engineering,36,70000.0,2021-06-02 21:58:33.253012,No,3.4
EMP-144,Sales,38,74000.0,2021-06-11 17:03:36.867469,No,2.5
EMP-145,Engineering,40,79000.0,2021-06-20 12:08:40.481927,No,4.1
EMP-146,Marketing,43,43000.0,2021-06-29 07:13:44.096385,Yes,3.1
EMP-147,Engineering,33,100000.0,2021-07-08 02:18:47.710843,No,3.0
EMP-148,Sales,23,92000.0,2021-07-16 21:23:51.325301,No,3.3
EMP-149,Engineering,39,61000.0,2021-07-25 16:28:54.939759,No,3.4
EMP-150,HR,43,72000.0,2021-08-03 11:33:58.554216,No,2.9
EMP-151,HR,38,50000.0,2021-08-12 06:39:02.168674,No,4.4
EMP-152,HR,33,82000.0,2021-08-21 01:44:05.783132,No,3.3
EMP-153,Engineering,22,71000.0,2021-08-29 20:49:09.397590,Yes,2.8
EMP-154,Marketing,34,61000.0,2021-09-07 15:54:13.012048,No,2.6
EMP-155,HR,25,77000.0,2021-09-16 10:59:16.626506,Yes,2.9
EMP-156,Marketing,30,76000.0,2021-09-25 06:04:20.240963,No,4.0
EMP-157,Engineering,23,76000.0,2021-10-04 01:09:23.855421,Yes,4.6
EMP-158,Engineering,31,55000.0,2021-10-12 20:14:27.469879,No,4.1
EMP-159,Marketing,33,50000.0,2021-10-21 15:19:31.084337,No,3.1
EMP-160,Marketing,44,91000.0,2021-10-30 10:24:34.698795,No,3.0
EMP-161,HR,37,71000.0,2021-11-08 05:29:38.313253,No,4.3
EMP-162,Finance,33,55000.0,2021-11-17 00:34:41.927710,Yes,4.0
EMP-163,Sales,39,49000.0,2021-11-25 19:39:45.542168,No,3.4
EMP-164,Marketing,32,86000.0,2021-12-04 14:44:49.156626,Yes,3.7
EMP-165,HR,22,85000.0,2021-12-13 09:49:52.771084,No,2.6
EMP-166,Marketing,28,40000.0,2021-12-22 04:54:56.385542,No,3.6
EMP-167,HR,38,76000.0,2021-12-31 00:00:00.000000,No,2.2
EMP-168,HR,33,80000.0,2022-01-08 19:05:03.614457,No,3.2
EMP-169,Marketing,22,57000.0,2022-01-17 14:10:07.228915,Yes,4.4
EMP-170,Engineering,45,54000.0,2022-01-26 09:15:10.843373,No,3.1
EMP-171,Marketing,24,101000.0,2022-02-04 04:20:14.457831,No,4.0
EMP-172,Engineering,38,73000.0,2022-02-12 23:25:18.072289,No,4.2
EMP-173,Marketing,31,71000.0,2022-02-21 18:30:21.686746,Yes,3.2
EMP-174,Marketing,26,118000.0,2022-03-02 13:35:25.301204,No,3.0
EMP-175,Marketing,35,99000.0,2022-03-11 08:40:28.915662,No,3.4
EMP-176,Marketing,44,81000.0,2022-03-20 03:45:32.530120,No,4.1
EMP-177,Sales,36,89000.0,2022-03-28 22:50:36.144578,No,3.4
EMP-178,Sales,34,72000.0,2022-04-06 17:55:39.759036,Yes,3.5
EMP-179,Finance,30,54000.0,2022-04-15 13:00:43.373493,No,5.0
EMP-180,Finance,42,86000.0,2022-04-24 08:05:46.987951,No,3.6
EMP-181,Sales,48,40000.0,2022-05-03 03:10:50.602409,No,3.9
EMP-182,Sales,26,55000.0,2022-05-11 22:15:54.216867,Yes,3.4
EMP-183,Finance,22,44000.0,2022-05-20 17:20:57.831325,No,3.8
EMP-184,Engineering,30,93000.0,2022-05-29 12:26:01.445783,No,3.8
EMP-185,HR,33,61000.0,2022-06-07 07:31:05.060240,No,4.3
EMP-186,Engineering,32,76000.0,2022-06-16 02:36:08.674698,No,3.6
EMP-187,Finance,29,79000.0,2022-06-24 21:41:12.289156,No,3.0
EMP-188,Engineering,22,98000.0,2022-07-03 16:46:15.903614,No,2.9
EMP-189,Marketing,37,65000.0,2022-07-12 11:51:19.518072,No,3.5
EMP-190,Finance,28,94000.0,2022-07-21 06:56:23.132530,No,3.2
EMP-191,HR,22,88000.0,2022-07-30 02:01:26.746987,Yes,3.7
EMP-192,HR,22,112000.0,2022-08-07 21:06:30.361445,No,4.2
EMP-193,Finance,42,44000.0,2022-08-16 16:11:33.975903,No,3.7
EMP-194,Marketing,32,74000.0,2022-08-25 11:16:37.590361,No,3.1
EMP-195,Sales,36,70000.0,2022-09-03 06:21:41.204819,No,2.7
EMP-196,Marketing,22,71000.0,2022-09-12 01:26:44.819277,Yes,3.9
EMP-197,Marketing,32,81000.0,2022-09-20 20:31:48.433734,No,2.2
EMP-198,HR,44,74000.0,2022-09-29 15:36:52.048192,No,2.8
EMP-199,Engineering,38,56000.0,2022-10-08 10:41:55.662650,No,3.8
EMP-200,Engineering,36,56000.0,2022-10-17 05:46:59.277108,No,3.6
EMP-201,Engineering,34,75000.0,2022-10-26 00:52:02.891566,Yes,4.2
EMP-202,HR,41,76000.0,2022-11-03 19:57:06.506024,No,4.0
EMP-203,HR,40,44000.0,2022-11-12 15:02:10.120481,No,3.0
EMP-204,HR,22,54000.0,2022-11-21 10:07:13.734939,Yes,4.1
EMP-205,Sales,38,50000.0,2022-11-30 05:12:17.349397,No,2.9
EMP-206,Sales,42,71000.0,2022-12-09 00:17:20.963855,No,2.9
EMP-207,Engineering,40,67000.0,2022-12-17 19:22:24.578313,No,3.0
EMP-208,Marketing,29,62000.0,2022-12-26 14:27:28.192771,No,3.0
EMP-209,Marketing,33,65000.0,2023-01-04 09:32:31.807228,No,3.7
EMP-210,Marketing,33,75000.0,2023-01-13 04:37:35.421686,No,4.4
EMP-211,Engineering,23,40000.0,2023-01-21 23:42:39.036144,No,3.3
EMP-212,Marketing,39,60000.0,2023-01-30 18:47:42.650602,Yes,2.3
EMP-213,Engineering,27,83000.0,2023-02-08 13:52:46.265060,No,3.7
EMP-214,HR,45,50000.0,2023-02-17 08:57:49.879518,No,3.2
EMP-215,Finance,35,40000.0,2023-02-26 04:02:53.493975,Yes,3.6
EMP-216,Engineering,32,67000.0,2023-03-06 23:07:57.108433,No,2.9
EMP-217,Sales,33,72000.0,2023-03-15 18:13:00.722891,No,3.8
EMP-218,Engineering,33,51000.0,2023-03-24 13:18:04.337349,No,3.6
EMP-219,Finance,45,47000.0,2023-04-02 08:23:07.951807,Yes,3.4
EMP-220,HR,41,40000.0,2023-04-11 03:28:11.566265,No,2.6
EMP-221,Sales,32,51000.0,2023-04-19 22:33:15.180722,Yes,2.7
EMP-222,Engineering,36,40000.0,2023-04-28 17:38:18.795180,No,3.6
EMP-223,HR,31,64000.0,2023-05-07 12:43:22.409638,No,4.1
EMP-224,Finance,22,71000.0,2023-05-16 07:48:26.024096,No,5.0
EMP-225,Finance,42,40000.0,2023-05-25 02:53:29.638554,No,2.7
EMP-226,Finance,30,77000.0,2023-06-02 21:58:33.253012,No,2.1
EMP-227,Marketing,37,92000.0,2023-06-11 17:03:36.867469,No,3.0
EMP-228,Marketing,27,92000.0,2023-06-20 12:08:40.481927,Yes,4.4
EMP-229,Engineering,33,43000.0,2023-06-29 07:13:44.096385,No,3.2
EMP-230,Finance,41,64000.0,2023-07-08 02:18:47.710843,No,3.6
EMP-231,Sales,28,40000.0,2023-07-16 21:23:51.325301,No,3.4
EMP-232,Finance,40,68000.0,2023-07-25 16:28:54.939759,No,4.3
EMP-233,Sales,43,87000.0,2023-08-03 11:33:58.554216,Yes,3.1
EMP-234,Sales,32,59000.0,2023-08-12 06:39:02.168674,Yes,4.1
EMP-235,Sales,22,56000.0,2023-08-21 01:44:05.783132,Yes,4.1
EMP-236,Engineering,33,66000.0,2023-08-29 20:49:09.397590,Yes,4.0
EMP-237,Sales,39,77000.0,2023-09-07 15:54:13.012048,No,3.8
EMP-238,Finance,33,64000.0,2023-09-16 10:59:16.626506,No,4.5
EMP-239,Marketing,46,59000.0,2023-09-25 06:04:20.240963,No,2.7
EMP-240,HR,35,75000.0,2023-10-04 01:09:23.855421,No,4.5
EMP-241,Finance,26,58000.0,2023-10-12 20:14:27.469879,No,2.6
EMP-242,Sales,24,102000.0,2023-10-21 15:19:31.084337,No,3.4
EMP-243,Engineering,24,65000.0,2023-10-30 10:24:34.698795,No,4.7
EMP-244,HR,51,81000.0,2023-11-08 05:29:38.313253,No,3.5
EMP-245,HR,33,70000.0,2023-11-17 00:34:41.927710,No,2.6
EMP-246,HR,40,84000.0,2023-11-25 19:39:45.542168,No,3.6
EMP-247,HR,53,96000.0,2023-12-04 14:44:49.156626,Yes,3.9
EMP-248,Marketing,31,43000.0,2023-12-13 09:49:52.771084,No,4.1
EMP-249,HR,33,54000.0,2023-12-22 04:54:56.385542,Yes,3.5
EMP-250,Engineering,33,55000.0,2023-12-31 00:00:00.000000,No,4.4
